,screen_name,state
1,BJP4AnN,Andaman and Nicobar Islands
4,praveenkubjp,Bihar
9,MumbaiYash,Maharashtra
10,Nitinkalebjp,Maharashtra
11,rajmatasantha2,Maharashtra
12,babunair6,Maharashtra
14,PwwareWare,Maharashtra
15,Randhir62157439,Bihar
16,sarthkkawde,Maharashtra
21,HarikeshJaswl14,Maharashtra
22,BhavikP69143098,Maharashtra
23,nlshmishra5,Maharashtra
26,AjayKum29378263,Bihar
29,deepakpohekar,Maharashtra
30,BakaneRajesh,Maharashtra
32,maheshu7011,Maharashtra
35,DrSanjayWSharma,Maharashtra
36,TKamthe9,Maharashtra
37,Kamlesh51370148,Bihar
42,Aditya_singhR,Maharashtra
43,ShreeDeshmukh01,Maharashtra
44,ganeshhhedda,Maharashtra
47,Siddktweets,Maharashtra
48,VijayKu35103683,Bihar
50,Shailesh_BJYM,Maharashtra
51,bulletking8931,Maharashtra
52,AbhiSamantBJP,Maharashtra
54,SaurabhTete,Maharashtra
55,SameerD57044351,Maharashtra
59,umeshku67873908,Bihar
60,AshuFighter111,Maharashtra
61,wasimkh47913671,Maharashtra
62,sachinsehgal43,Maharashtra
63,ChetanVRTarale,Maharashtra
67,MishraGRAdv,Maharashtra
70,Rahulkrsarraf1,Bihar
74,tejraj4u,Maharashtra
75,JitendraSJain2,Maharashtra
80,AgreRohan,Maharashtra
81,RahulJa66662755,Bihar
85,SKalambarkar,Maharashtra
86,BShivadi,Maharashtra
87,PagdhareRekha,Maharashtra
91,AjayUpa21028321,Maharashtra
92,meharhussain660,Bihar
93,tmreddy123,Maharashtra
97,ManojRa23038478,Maharashtra
98,Sandeep88317165,Maharashtra
99,Sushil2321985,Maharashtra
103,RajeshP92260379,Bihar
115,NiteshSeth02,Bihar
120,PandeSavita,Maharashtra
121,Shubhamchikhal1,Maharashtra
122,jaykumarfulwani,Maharashtra
123,GaneshS32985200,Maharashtra
124,Pradeep69227425,Maharashtra
126,Alokkum46774528,Bihar
137,HIRENKHALASI2,Bihar
144,chitlange1,Maharashtra
145,HajariRamBishn1,Maharashtra
146,RoshanpKatekhay,Maharashtra
147,SIndapwar,Maharashtra
148,rajujhabjp,Bihar
149,jituyb179,Maharashtra
150,bhosalevarsha24,Maharashtra
151,bjpitcellbwd,Maharashtra
156,galandepatil1,Maharashtra
157,ved_katore,Maharashtra
158,RatnagiriBJP,Maharashtra
159,RahulKu33194794,Bihar
160,BABUNAIR14,Maharashtra
161,Sunnydubey1994,Maharashtra
167,asifGaietyKhan,Maharashtra
170,PeriSravan,Bihar
173,kedarmankar,Maharashtra
174,balwantvarmaBJP,Maharashtra
175,ThevarSudarshan,To Be Added
176,drlaxmanjadhav2,Maharashtra
177,ankushj180491,Maharashtra
178,bjym4borivali,Maharashtra
182,Sunil39707214,Maharashtra
183,DrSantoshTripa3,Maharashtra
184,Dignesh9008,Maharashtra
189,AmasidhP,Maharashtra
190,chaitanyaparek3,Maharashtra
193,jitubhandup,Maharashtra
195,AmitGuptabbbp19,Maharashtra
198,Abhinandan_BJP,Maharashtra
203,DilipKu76936383,Bihar
206,GulshanJayHind,Maharashtra
207,bjp_satish,Maharashtra
208,SudhirY78657852,Maharashtra
211,skvs1406,Maharashtra
212,Mandeepsajmani,Maharashtra
214,RahulRa31753851,Bihar
217,KalpanaBagulkar,Maharashtra
218,SinghMuktanand,Maharashtra
222,RishiChouhan28,Maharashtra
226,Pradeep36057194,Bihar
229,ShivprakashKun1,Maharashtra
230,dilipkhandare70,Maharashtra
233,Jayshar26386972,Maharashtra
235,Sameerbjp09,Maharashtra
236,ManishDube19,Maharashtra
237,Sanjeev04082160,Bihar
238,BhosaleVarsha,Maharashtra
239,TanishqKulkarni,Maharashtra
243,VikasUpadhayay6,Maharashtra
246,abvp_malegaon,Maharashtra
247,VijayRao9921,Maharashtra
252,CHANDRAKANTTAY3,Maharashtra
257,rajabhai586,Maharashtra
258,svkannal60,Maharashtra
269,JayPati00343094,Maharashtra
271,BjpRaees,Maharashtra
277,HarishNimje14,Maharashtra
278,SanjayA69097277,Maharashtra
279,DulgachAvinash,Maharashtra
280,Bharat333333333,Maharashtra
286,sagarkhinchi7,Maharashtra
287,MadhavraoYogesh,Maharashtra
288,niraj_jetty,Maharashtra
295,abhishek28BJP,Maharashtra
299,AmitMundePatil1,Maharashtra
305,AniketHemke,Maharashtra
306,UpadhyeT,Maharashtra
308,GateSumit,Maharashtra
309,HukirePradip,Maharashtra
313,MumbaiBJP,Maharashtra
315,shivenojha1,Maharashtra
316,SureshC51975115,Maharashtra
317,amolsal43582102,Maharashtra
318,dhavaldarjibjp,Maharashtra
321,dilip_Thorat,Maharashtra
322,ImranKh47631504,Maharashtra
326,OmkarKedari4,Maharashtra
334,pradnnyesh,Maharashtra
335,MPDattatreya,To Be Added
338,PravinTelore2,Maharashtra
341,LakhoteNeeta,Maharashtra
345,singh_abvp,Maharashtra
346,WorkerAjay,Maharashtra
350,GaradYogiraj,Maharashtra
354,southmumbaiBJYM,Maharashtra
453,iLaxmanJagtap,To Be Added
463,BJP4Manipur,Manipur
465,nheptulla,Manipur
467,BiswajitThongam,Manipur
472,KipgenNemcha,Manipur
478,KInaochaDevi,Manipur
485,RawatShakendra,Manipur
489,KiranThangj,Manipur
493,MeiteiPhoni,Manipur
494,gunameitram,Manipur
498,fajur_rahim,Manipur
502,somojitSingh,Manipur
505,ChChidananda,Manipur
507,MaheshBhagavath,Manipur
508,jogen_ys,Manipur
510,askeralimk,Manipur
511,MeirabaMeinam,Manipur
515,JitenAhongsang1,Manipur
516,bogi_daulat,Manipur
517,APSharma113,Manipur
521,PKumarjeetSingh,Manipur
526,Jeevan928,Manipur
527,SomanandaKshet2,Manipur
528,LourembamDayab1,Manipur
531,BJP4Meghalaya,Meghalaya
538,MyLPG_In,Meghalaya
540,shishirkb,Meghalaya
544,NagarajGasti,Meghalaya
546,NorthKolkataBJP,Meghalaya
548,puneet145,Meghalaya
549,iSwapnilDoshi,Gujarat
554,tyagi_diwakar,To Be Added
555,KyrshanBJP,Meghalaya
557,BJP4Mizoram,Mizoram
565,jvhluna123,Mizoram
566,JohnLalrem,Mizoram
567,BJP4Nagaland,Nagaland
580,srkanthmphil78,Nagaland
591,PandaJay,Odisha
1723,Asifbhamlaa,To Be Added
1732,AshwiniBJP,To Be Added
1760,MLekhiOffice,To Be Added
1767,varunpuri1984,To Be Added
1768,goelgauravbjp,To Be Added
1782,BJPLive,To Be Added
1783,v_shrivsatish,To Be Added
1784,VHPsampark,To Be Added
1786,BJP_Manifesto,To Be Added
1787,sanghmobileapp,To Be Added
1789,kiranmgosavi,To Be Added
1791,iamnisheet07,To Be Added
1793,gorakshabvp,To Be Added
1794,Ramanvishen,To Be Added
1795,lalitrashtawadi,To Be Added
1796,biswashitesh,To Be Added
1797,AnandSwaroopMi3,To Be Added
1799,Jitendr34381015,To Be Added
1815,jualoram,Odisha
1816,pcsarangi,Odisha
1817,BJP4Odisha,Odisha
1828,DrLekhaShree,Odisha
1834,sureshkpujari,Odisha
1841,SajjanSharmabjp,Odisha
1843,basantpandabjp,Odisha
1862,MurliSharmaBJP,Odisha
1866,AshBiswal,Odisha
1871,bjmmpravati1,Odisha
1872,pinkyp_actor,Odisha
1877,balbirpunj,Odisha
1878,AcharyaPitamba1,Odisha
1882,BhruguBJP,Odisha
1884,tankadharsng,Odisha
1889,CSNandaBJP,Odisha
1894,abvpodisha,Odisha
1899,SrijimeS,Odisha
1900,ThakurRanjitDas,Odisha
1916,PrithivirajBJP,Odisha
1922,shishirgamang,Odisha
1935,prasantabjym,Odisha
1937,manasmitak,Odisha
1938,sikandarbjp,Odisha
1940,umakantpatnayak,Odisha
1945,bsethibjp,Odisha
1956,DilipMalick,Odisha
1959,BiswalAnil,Odisha
1964,harakhpura,Odisha
1972,baidhar1964,Odisha
1978,dkgochhayat,Odisha
1982,BishnuPrMishra,Odisha
1983,TheLaxmiS,Odisha
1986,irasisacharya,Odisha
1990,BJPOdishaLive,Odisha
1994,satyendrasuna1,Odisha
1997,ajayp2255,Odisha
1999,HKKhuntia,Odisha
2007,kdharmarajured4,Odisha
2010,AbhayaK57801837,Odisha
2013,sudiptarayjatni,Odisha
2015,ashoksahu53,Odisha
2018,BJYM4BBSR,Odisha
2020,radharani_panda,Odisha
2027,Dr_KC_Mohapatra,Odisha
2028,BjpPriyabrata,Odisha
2029,smarajitbjp,Odisha
2035,dashprabir,Odisha
2037,ShakuntalaKalo,Odisha
2038,odisha_skill,Odisha
2044,BadriDhalBJP,Odisha
2046,DeepakRanjanBi2,Odisha
2052,sunanda7711,Odisha
2056,surathbjp,Odisha
2059,ManmohanSamal,Odisha
2062,mangalam_sunny,Odisha
2063,naik_pradipta,Odisha
2065,Rashmirekha1984,Odisha
2071,IraniRay,Odisha
2072,AlokCuttack,Odisha
2073,swagatpadhi19,Odisha
2079,bjprupesh,Odisha
2083,chirachinmaya,Odisha
2084,roy_shibdas,Odisha
