,screen_name,state
2,NSubramanian1,To Be Added
3,SatishYepuri,Andhra Pradesh
5,Azamlebbai1,Maharashtra
8,hanfi_rahil,Maharashtra
13,VartakKuldeep,Maharashtra
17,INCJafrabad,Maharashtra
18,ShivsahayRana,Maharashtra
20,SameerAkhtarAns,Maharashtra
25,tezaslam,To Be Added
27,BaldevKhosa1944,Maharashtra
28,MakwanaZameer,Maharashtra
31,umakantdhande,Maharashtra
33,SaleemSayed_INC,Maharashtra
38,MohsinK95787166,Maharashtra
39,ansariowais103,Maharashtra
40,Nikhil_f0808,Maharashtra
41,parag555Patil,Maharashtra
49,gauri_ashraf,Maharashtra
53,TGurjjar,Maharashtra
56,UdayjyotiM,Maharashtra
57,RohiniPandit2,Maharashtra
58,harshkottawar,Maharashtra
64,amirz_khan,Maharashtra
65,Sharan04431821,Maharashtra
68,d_congress,Maharashtra
69,mpccc,Maharashtra
71,bhushanranbhar2,Maharashtra
72,digvijay_IYC,Maharashtra
73,nilesh_khorgade,Maharashtra
76,luckysaini2912,Maharashtra
77,RoshnaShah1,Maharashtra
79,MLA_Amarkale,Maharashtra
82,tripath_vijay,Maharashtra
83,SanjayS27300241,Maharashtra
84,umerlakdawala21,Maharashtra
88,Inderp9999,Maharashtra
89,iamsinghgovind,Maharashtra
90,mlasubhashdhote,Maharashtra
95,Azam_khan111,Maharashtra
96,PRINCEJRSHUKLA,Maharashtra
100,TrusharPadweka1,Maharashtra
101,Prasenjeetwagh1,Maharashtra
102,atiksahibole31,Maharashtra
104,aniket_arkade,Maharashtra
107,svinoth_tnpyc,Maharashtra
108,DrAslamKhan7,Maharashtra
110,IncRamzan,Maharashtra
111,incyuvraj,Maharashtra
112,Navedsheikhshe2,Maharashtra
113,Sayedayub1,Maharashtra
114,PanabakaL,Andhra Pradesh
116,PradeepChaube15,Maharashtra
125,SunilKedar1111,Maharashtra
127,NavnathTirmale,Maharashtra
128,AshokPa36447329,Maharashtra
129,SangliCongress,Maharashtra
130,MRafiqshk,Maharashtra
131,ParveenFaroogui,Maharashtra
132,imshashankchamp,Maharashtra
133,RAMTEKEabhijit,Maharashtra
134,DccPimpri,Maharashtra
135,DeepakShelatka2,Maharashtra
138,EastPyc,Maharashtra
139,khopade_bhushan,Maharashtra
140,saurabhc0,Maharashtra
141,kapilnagvekar,Maharashtra
142,sachinde1979,Maharashtra
154,NikhatCongress,Maharashtra
155,BGourikar,Maharashtra
164,Satish363636,Maharashtra
168,prapat888,Maharashtra
169,asharam_nager,Maharashtra
171,AmitNSakpal,Maharashtra
179,sameer983332484,Maharashtra
185,nikhilpan2120,Maharashtra
186,Adnanrshaikh,Maharashtra
187,TrivediJayam,Maharashtra
194,NikhileshIYC1,Maharashtra
199,ReddyYenge,Maharashtra
200,ns_nikhil2120,Maharashtra
201,mhaske_atul,Maharashtra
202,nikhilvijaysing,Maharashtra
204,robin909singh,Maharashtra
205,akash_rahate,Maharashtra
209,VishalDhuriya1,Maharashtra
210,chhajedakash,Maharashtra
213,kha_jameel,Maharashtra
215,Roy_Mani,Maharashtra
219,kuldipnsui,Maharashtra
220,SyedSaj23299449,Maharashtra
223,LokareNikhil,Maharashtra
224,alok3333c,Maharashtra
225,surendarvemuri1,Andhra Pradesh
227,BrajeshJagtap,Maharashtra
228,AnanShelar,Maharashtra
231,seemamahadik4,Maharashtra
232,2786Firoz,Maharashtra
234,NorthWestSM,Maharashtra
240,AditiJadhav54,Maharashtra
241,MauryaVishalNCP,Maharashtra
242,RafikPathanINC,Maharashtra
244,PChaudharu,Maharashtra
245,RAHULCHUTE4,Maharashtra
254,SharifS47707079,Maharashtra
255,pankajchaudhray,Maharashtra
260,nsui_sandeep,Maharashtra
261,ZameerMakwana1,Maharashtra
262,VijayKumarKano3,Maharashtra
263,dineshhyadav1,Maharashtra
264,sawanekar,Maharashtra
265,shreshwavale,Maharashtra
266,patekar_solomon,Maharashtra
267,shrivats_sharma,Maharashtra
268,PimpriI,Maharashtra
272,BycullaMumbai,Maharashtra
273,LawanghareRaje1,Maharashtra
274,AkshayAgharde,Maharashtra
275,raosaheb_sable,Maharashtra
283,JBhuibhar,Maharashtra
284,vipin_nsui,Maharashtra
285,MithaliVishwak1,Maharashtra
289,ashokpote,Maharashtra
290,palashmondil2,Maharashtra
291,arjunpagdi,Maharashtra
293,vaibhavkmkr64,Maharashtra
294,IamJayku,Maharashtra
297,AnjaraKanjibhai,Maharashtra
298,SalenderSheoran,Maharashtra
300,FirozIntuc,Maharashtra
301,Kishandalamiya,Maharashtra
304,ShaikhJ48693641,Maharashtra
307,KishorNagpurka2,Maharashtra
311,gajanan_bhagat,Maharashtra
312,Mohamma19609226,Maharashtra
319,sandipmore1133,Maharashtra
320,madhukarraok,Maharashtra
323,Mohamma37007632,Maharashtra
327,DabiSandeep,Maharashtra
328,qSe01YlhTygBm8l,Maharashtra
329,Anmol21664708,Maharashtra
330,sanjay220791,Maharashtra
331,SajidSirajKhan,Maharashtra
332,Rohitka81194,Maharashtra
333,SNirphal,Maharashtra
336,andhra_nsui,Andhra Pradesh
339,Nareshyadavhry,To Be Added
340,tlokhande86,To Be Added
342,tukaram_mali,Maharashtra
347,shadab007i,Maharashtra
352,MdTaiseem,Maharashtra
355,NaseerPalliyoda,To Be Added
370,ShatruganSinha,Bihar
381,Ahmad_Shakeel,Bihar
392,DrMadanMohanJha,Bihar
403,IYCBihar,Bihar
414,Ranjeet4India,Bihar
436,PremChandraMis2,Bihar
442,VivekBansal72,To Be Added
